track_id,album_id,date_id,sound_id,virality_id,main_artist_id,streams_1month,popularity
TR004800,ALB168925,20210514,4800,3,101,5283,11.0
TR004801,ALB534654,20070629,4801,4,101,4261,21.0
TR004802,ALB243941,20161017,4802,4,101,4154,74.0
TR004803,ALB804813,20220923,4803,4,101,5833,13.0
TR004804,ALB534654,20070629,4804,4,101,4393,10.0
TR004805,ALB458914,20210212,4805,3,101,5657,3.0
TR004806,ALB365375,20040000,4806,4,101,5105,9.0
TR004807,ALB192325,20230609,4807,3,101,4168,26.0
TR004808,ALB534654,20070629,4808,4,101,5930,15.0
TR004809,ALB195716,20201115,4809,3,101,4505,9.0
TR004810,ALB326845,20201023,4810,4,101,5735,5.0
TR004811,ALB991514,20150918,4811,4,101,4351,21.0
TR004812,ALB991514,20150918,4812,4,101,5726,4.0
TR004813,ALB725222,20091101,4813,3,101,4039,0.0
TR004814,ALB443818,20210730,4814,3,101,5039,9.0
TR004815,ALB365375,20040101,4815,3,101,5557,20.0
TR004816,ALB955956,20200410,4816,1,101,5883,8.0
TR004817,ALB365375,20040000,4817,4,101,5835,18.0
TR004818,ALB534654,20070629,4818,4,101,5656,27.0
TR004819,ALB804813,20220923,4819,4,101,5791,13.0
TR004820,ALB550429,20201113,4820,1,101,4409,4.0
TR004821,ALB964715,20210129,4821,3,101,4579,6.0
TR004822,ALB597295,20110524,4822,4,101,4591,11.0
TR004823,ALB443818,20210630,4823,4,101,4765,6.0
TR004824,ALB804813,20220923,4824,4,101,4798,9.0
TR004825,ALB365375,20040101,4825,1,101,5104,10.0
TR004826,ALB534654,20070629,4826,4,101,4333,45.0
TR004827,ALB278732,20100511,4827,4,101,5398,14.0
TR004828,ALB955956,20200612,4828,4,101,4345,6.0
TR004829,ALB591271,20240510,4829,1,101,4633,14.0
TR004830,ALB192325,20230609,4830,4,101,5019,12.0
TR004831,ALB278732,20100518,4831,4,101,5610,17.0
TR004832,ALB443818,20210730,4832,4,101,5495,5.0
TR004833,ALB955956,20200612,4833,1,101,5304,7.0
TR004834,ALB534654,20070629,4834,4,101,4324,11.0
TR004835,ALB955956,20200612,4835,4,101,5108,9.0
TR004836,ALB443818,20210730,4836,4,101,4186,7.0
TR004837,ALB955956,20200612,4837,4,101,4766,6.0
TR004838,ALB991514,20150918,4838,4,101,4842,5.0
TR004839,ALB692763,20130319,4839,4,101,4091,5.0
TR004840,ALB804813,20220923,4840,3,101,4560,12.0
TR004841,ALB991514,20150918,4841,4,101,5930,9.0
TR004842,ALB329904,20140417,4842,1,101,5926,12.0
TR004843,ALB991514,20150918,4843,4,101,4715,5.0
TR004844,ALB534654,20070629,4844,4,101,4099,12.0
TR004845,ALB805107,20091215,4845,4,101,4373,50.0
TR004846,ALB333806,20080228,4846,4,101,4799,15.0
TR004847,ALB597295,20110524,4847,3,101,5912,5.0
TR004848,ALB427866,20210423,4848,4,101,4293,5.0
TR004849,ALB991514,20161003,4849,4,101,5543,9.0
TR004850,ALB365375,20091004,4850,2,101,4230,11.0
TR004851,ALB534654,20070629,4851,4,101,5979,10.0
TR004852,ALB692763,20130319,4852,4,101,4777,5.0
TR004853,ALB534654,20070629,4853,3,101,5568,12.0
TR004854,ALB192325,20230609,4854,4,101,4697,7.0
TR004855,ALB365375,20040101,4855,3,101,5271,8.0
TR004856,ALB692763,20130319,4856,4,101,4398,5.0
TR004857,ALB330203,20210503,4857,3,101,4304,7.0
TR004858,ALB955956,20200612,4858,4,101,5891,6.0
TR004859,ALB597295,20110524,4859,4,101,5851,6.0
TR004860,ALB192325,20230609,4860,3,101,5789,6.0
TR004861,ALB955956,20200612,4861,3,101,5264,5.0
TR004862,ALB692763,20130319,4862,4,101,5635,6.0
TR004863,ALB692763,20130125,4863,4,101,4150,6.0
TR004864,ALB365375,20040101,4864,4,101,4683,9.0
TR004865,ALB692763,20130319,4865,3,101,4642,9.0
TR004866,ALB365375,20040101,4866,4,101,5288,24.0
TR004867,ALB534654,20070602,4867,3,101,4726,14.0
TR004868,ALB278732,20100518,4868,4,101,4311,5.0
TR004869,ALB692763,20130319,4869,4,101,5209,7.0
TR004870,ALB955956,20200612,4870,3,101,5644,7.0
TR004871,ALB329904,20150316,4871,4,101,4779,9.0
TR004872,ALB278732,20100518,4872,4,101,4278,12.0
TR004873,ALB955956,20130319,4873,4,101,4407,10.0
TR004874,ALB597295,20110524,4874,4,101,4489,4.0
TR004875,ALB573873,20080000,4875,4,101,4614,23.0
TR004876,ALB597295,20110524,4876,4,101,5300,2.0
TR004877,ALB177335,20250321,4877,4,101,5214,28.0
TR004878,ALB192325,20230609,4878,4,101,5407,10.0
TR004879,ALB325298,20110524,4879,4,101,4739,0.0
TR004880,ALB278732,20100518,4880,4,101,5666,6.0
TR004881,ALB317951,20240109,4881,3,101,4421,12.0
TR004882,ALB926860,20120112,4882,4,101,4952,55.0
TR004883,ALB365375,20040101,4883,4,101,5619,5.0
TR004884,ALB534654,20070629,4884,4,101,4373,9.0
TR004885,ALB365375,20040101,4885,4,101,4233,5.0
TR004886,ALB365375,20040101,4886,4,101,5784,5.0
TR004887,ALB597295,20110524,4887,4,101,4699,3.0
TR004888,ALB278732,20100518,4888,4,101,5383,5.0
TR004889,ALB534654,20070629,4889,4,101,4062,7.0
TR004890,ALB534654,20070629,4890,4,101,5396,9.0
TR004891,ALB440676,20040101,4891,4,101,4645,1.0
TR004892,ALB597295,20110524,4892,4,101,4123,7.0
TR004893,ALB278732,20100518,4893,4,101,5236,6.0
TR004894,ALB597295,20110524,4894,4,101,4495,13.0
TR004895,ALB597295,20110524,4895,3,101,4788,3.0
TR004896,ALB591271,20240510,4896,3,101,4171,19.0
TR004897,ALB692763,20130319,4897,4,101,4306,4.0
TR004898,ALB121762,20210712,4898,4,101,4608,45.0
TR004899,ALB692763,20130319,4899,3,101,4192,6.0
TR004900,ALB329904,20151016,4900,4,101,5840,7.0
TR004901,ALB329904,20140508,4901,4,101,4024,9.0
TR004902,ALB365375,20040101,4902,3,101,4982,5.0
TR004903,ALB365375,20040101,4903,3,101,4259,4.0
TR004904,ALB528321,20250124,4904,4,101,4628,30.0
TR004905,ALB220696,20090712,4905,4,101,5866,10.0
