sound_id,bpm,rolloff,flux,rms,flatness,spectral_complexity,pitch,loudness,mood
9183,161.55,2613.4504,1.2641,0.0707,0.7677,9.8277,2639.9455,5.9215,Lo-Fi Hip Hop/Chill Rap
9184,99.04,1010.8065,1.2812,0.2188,0.9222,22.7824,2334.6186,22.6968,Introspective Rap
9185,94.76,2462.7459,1.2921,0.2043,0.2118,28.2407,2281.4237,21.6546,Lo-Fi Hip Hop/Chill Rap
9186,118.44,1846.3413,1.313,0.1601,0.8753,19.8387,2509.5187,15.6222,Introspective Rap
9187,133.74,1280.6617,1.1886,0.2598,0.9456,30.4552,2337.6653,28.0576,Boom Bap/Classic Hip Hop
9188,87.77,2038.645,1.158,0.2378,0.8749,38.1663,2091.2803,25.7375,Cloud Rap/Experimental
9189,140.02,1415.1668,1.3182,0.2846,0.9299,35.4798,2546.2929,31.9011,Cloud Rap/Experimental
9190,153.85,2123.5663,1.188,0.1148,0.8448,22.6397,1714.2526,9.6039,Cloud Rap/Experimental
9191,133.74,1280.6617,1.1886,0.2598,0.9456,30.4552,2337.6653,28.0576,Introspective Rap
9192,76.04,1406.0933,1.0334,0.1658,0.9351,27.6307,1480.9439,15.5856,Boom Bap/Classic Hip Hop
9193,153.89,1468.838,1.3057,0.1467,0.8716,21.6634,2269.6146,13.4786,Trap/Drill
9194,150.1,1502.8665,1.1544,0.2289,0.9364,33.9863,2061.8588,23.9843,Lo-Fi Hip Hop/Chill Rap
9195,81.25,1266.09,1.1835,0.0767,0.9071,11.2059,2209.5838,5.6811,Trap/Drill
9196,85.01,1651.6285,1.1995,0.2622,0.934,38.7923,2394.6244,28.5471,Introspective Rap
9197,97.99,1353.8671,1.2137,0.2126,0.9231,28.6696,2484.71,22.3192,Cloud Rap/Experimental
9198,156.11,1307.0501,1.2184,0.2626,0.9107,34.9044,2576.9971,29.0829,Cloud Rap/Experimental
9199,85.9,1465.566,1.177,0.2744,0.9199,37.5004,2241.4042,30.4786,Lo-Fi Hip Hop/Chill Rap
9200,97.04,1868.2595,1.2338,0.1609,0.9153,28.7828,2327.9205,14.7934,Cloud Rap/Experimental
9201,82.91,1778.3177,1.2547,0.1633,0.8534,27.6285,2145.7592,15.3937,Cloud Rap/Experimental
9202,163.73,1511.3992,1.1833,0.2607,0.9182,34.9868,2424.5644,28.4609,Lo-Fi Hip Hop/Chill Rap
9203,86.92,1396.5334,1.2145,0.2171,0.906,26.1219,2273.7231,22.272,Cloud Rap/Experimental
9204,92.9,1783.98,1.2414,0.2679,0.8954,38.7464,2334.1448,29.4365,Cloud Rap/Experimental
9205,81.65,1856.3904,1.1054,0.2162,0.9026,30.9365,2199.874,22.9012,Cloud Rap/Experimental
9206,83.01,1989.472,1.1896,0.2237,0.8959,30.6316,2347.5138,23.4175,Lo-Fi Hip Hop/Chill Rap
9207,155.73,839.1338,1.3225,0.1373,0.9335,15.1447,2708.2094,12.0468,Lo-Fi Hip Hop/Chill Rap
9208,122.24,1458.6809,1.1513,0.2392,0.9134,29.7267,2328.0334,25.8278,Introspective Rap
9209,83.12,1215.0654,1.1267,0.2297,0.9341,25.5949,2264.4617,23.625,Lo-Fi Hip Hop/Chill Rap
9210,93.99,1904.3945,1.2829,0.1511,0.8876,26.2648,2214.1491,13.7724,Boom Bap/Classic Hip Hop
9211,140.02,1126.216,1.2343,0.1476,0.9267,19.0111,3082.3999,13.1499,Lo-Fi Hip Hop/Chill Rap
9212,106.84,1735.9424,1.2235,0.2286,0.9265,32.8972,2342.1354,24.1388,Cloud Rap/Experimental
9213,148.03,1104.2165,1.1899,0.2226,0.9325,26.7355,2219.8185,22.9496,Cloud Rap/Experimental
9214,172.26,1175.9799,1.2775,0.104,0.898,19.5123,1718.5824,8.329,Trap/Drill
9215,92.97,1089.2135,1.2337,0.1624,0.9499,21.6564,2411.3151,15.0424,Cloud Rap/Experimental
9216,81.02,1615.9257,1.18,0.1367,0.8808,23.7296,2270.9469,12.4797,Club/Party Rap
9217,172.26,3046.9256,1.2711,0.1407,0.8674,17.05,2681.4063,12.4572,Cloud Rap/Experimental
9218,90.01,1521.7189,1.3154,0.209,0.8593,30.4871,2318.4528,21.2418,Club/Party Rap
9219,164.11,1513.4464,1.2539,0.2119,0.8915,28.773,2360.7739,21.962,Club/Party Rap
9220,95.19,1580.1775,1.483,0.2262,0.8444,31.3864,3489.4892,24.1435,Cloud Rap/Experimental
9221,100.45,741.5155,1.2246,0.099,0.9635,11.0036,1880.1288,7.8835,Lo-Fi Hip Hop/Chill Rap
9222,98.95,2053.9119,1.2848,0.1445,0.8355,25.3655,2518.3828,13.851,Trap/Drill
9223,103.82,2625.5703,1.4341,0.2046,0.8855,40.5685,2528.4873,20.8765,Trap/Drill
9224,99.04,2284.1207,1.4743,0.1637,0.8146,20.7263,2676.1572,15.7108,Cloud Rap/Experimental
9225,100.19,1977.4569,1.3468,0.154,0.7124,25.2341,2205.6439,15.0655,Lo-Fi Hip Hop/Chill Rap
9226,94.91,1533.5891,1.2444,0.2257,0.9047,32.6916,2204.5482,23.9916,Cloud Rap/Experimental
9227,63.0,1127.9753,1.2366,0.2225,0.8996,26.8614,2028.5916,23.1512,Trap/Drill
9228,137.25,1579.0749,1.3291,0.1896,0.8166,28.1706,2042.881,19.294,Lo-Fi Hip Hop/Chill Rap
9229,91.31,1658.8324,1.3019,0.1586,0.892,25.5019,2647.9756,14.9976,Trap/Drill
9230,120.02,1309.9228,1.272,0.214,0.8806,26.6481,2141.3345,22.4378,Trap/Drill
9231,93.01,2193.9142,1.5278,0.1751,0.8453,28.3671,2652.6437,17.2892,Trap/Drill
